time,velocity 
259,8.46851
259.2,8.47285
259.4,8.47719
259.6,8.48153
259.8,8.48586
260,8.4902
260.2,8.49453
260.4,8.49886
260.6,8.50319
260.8,8.50751
261,8.51184
261.2,8.51616
261.4,8.52049
261.6,8.52481
261.8,8.52913
262,8.53344
262.2,8.53776
262.4,8.54207
262.6,8.54639
262.8,8.5507
263,8.55501
263.2,8.55931
263.4,8.56362
263.6,8.56792
263.8,8.57223
264,8.57653
264.2,8.58083
264.4,8.58513
264.6,8.58942
264.8,8.59372
265,8.59801
265.2,8.6023
265.4,8.60659
265.6,8.61088
265.8,8.61517
266,8.61945
266.2,8.62374
266.4,8.62802
266.6,8.6323
266.8,8.63658
267,8.64085
267.2,8.64513
267.4,8.6494
267.6,8.65367
267.8,8.65795
268,8.66221
268.2,8.66648
268.4,8.67075
268.6,8.67501
268.8,8.67927
269,8.68354
269.2,8.68779
269.4,8.69205
269.6,8.69631
269.8,8.70056
270,8.70482
270.2,8.70907
270.4,8.71332
270.6,8.71757
270.8,8.72181
271,8.72606
271.2,8.7303
271.4,8.73454
271.6,8.73878
271.8,8.74302
272,8.74726
272.2,8.75149
272.4,8.75573
272.6,8.75996
272.8,8.76419
273,8.76842
273.2,8.77265
273.4,8.77687
273.6,8.7811
273.8,8.78532
274,8.78954
274.2,8.79376
274.4,8.79798
274.6,8.80219
274.8,8.80641
275,8.81062
275.2,8.81483
275.4,8.81904
275.6,8.82325
275.8,8.82746
276,8.83166
276.2,8.83587
276.4,8.84007
276.6,8.84427
276.8,8.84847
277,8.85266
277.2,8.85686
277.4,8.86105
277.6,8.86525
277.8,8.86944
278,8.87363
278.2,8.87782
278.4,8.882
278.6,8.88619
278.8,8.89037
279,8.89455
279.2,8.89873
279.4,8.90291
279.6,8.90709
279.8,8.91126
280,8.91543
280.2,8.91961
280.4,8.92378
280.6,8.92795
280.8,8.93211
281,8.93628
281.2,8.94044
281.4,8.94461
281.6,8.94877
281.8,8.95293
282,8.95708
282.2,8.96124
282.4,8.9654
282.6,8.96955
282.8,8.9737
283,8.97785
283.2,8.982
283.4,8.98615
283.6,8.99029
283.8,8.99444
284,8.99858
284.2,9.00272
284.4,9.00686
284.6,9.011
284.8,9.01513
285,9.01927
285.2,9.0234
285.4,9.02753
285.6,9.03166
285.8,9.03579
286,9.03992
286.2,9.04404
286.4,9.04816
286.6,9.05229
286.8,9.05641
287,9.06053
287.2,9.06464
287.4,9.06876
287.6,9.07287
287.8,9.07699
288,9.0811
288.2,9.08521
288.4,9.08932
288.6,9.09342
288.8,9.09753
289,9.10163
289.2,9.10573
289.4,9.10983
289.6,9.11393
289.8,9.11803
290,9.12213
290.2,9.12622
290.4,9.13031
290.6,9.1344
290.8,9.13849
291,9.14258
291.2,9.14667
291.4,9.15075
291.6,9.15484
291.8,9.15892
292,9.163
292.2,9.16708
292.4,9.17116
292.6,9.17523
292.8,9.17931
293,9.18338
293.2,9.18745
293.4,9.19152
293.6,9.19559
293.8,9.19965
294,9.20372
294.2,9.20778
294.4,9.21184
294.6,9.2159
294.8,9.21996
295,9.22402
295.2,9.22808
295.4,9.23213
295.6,9.23618
295.8,9.24024
296,9.24429
296.2,9.24833
296.4,9.25238
296.6,9.25643
296.8,9.26047
297,9.26451
297.2,9.26855
297.4,9.27259
